,Time,Fantom Market Cap
619,1639958400000,3657346243.1233315
620,1640044800000,3513616046.6194363
621,1640131200000,3753064415.114984
622,1640217600000,4080957708.0533137
623,1640304000000,4716886383.121332
624,1640390400000,5309312789.71291
625,1640476800000,5362732030.435574
626,1640563200000,5968780540.0323715
627,1640649600000,5598506044.867232
628,1640736000000,5739595945.999261
629,1640822400000,5366687359.858694
630,1640908800000,5350618935.427653
631,1640995200000,5770125110.46783
632,1641081600000,6525397966.54946
633,1641168000000,6377024166.429584
634,1641254400000,7231285377.851609
635,1641340800000,7408523083.29957
636,1641427200000,7451747972.194115
637,1641513600000,7478977690.013534
638,1641600000000,6675485593.334034
639,1641686400000,5862895531.757707
640,1641772800000,6075284366.530807
641,1641859200000,5672150877.196709
642,1641945600000,6575838211.515958
643,1642032000000,7402448973.01412
644,1642118400000,7701420882.515856
645,1642204800000,7481090920.597008
646,1642291200000,7623565121.824524
647,1642377600000,8336788535.131169
648,1642464000000,7507090864.390471
649,1642550400000,7588750167.3091545
650,1642636800000,7046346559.245479
651,1642723200000,6940802642.542017
652,1642809600000,5792513012.328568
653,1642896000000,4986299866.669928
654,1642982400000,5731213918.078017
655,1643068800000,5742273596.9036045
656,1643155200000,6071382341.208415
657,1643241600000,5807543595.190107
658,1643328000000,5303624478.927335
659,1643414400000,5410171554.183439
660,1643500800000,5303224858.351749
661,1643587200000,5170352143.782145
662,1643673600000,5184422341.3850975
663,1643760000000,5274670062.626633
664,1643846400000,4873415661.230117
665,1643932800000,4975048944.314122
666,1644019200000,5333016234.984321
667,1644105600000,5348852273.212328
668,1644192000000,5457530929.8308115
669,1644278400000,5905160691.347766
670,1644364800000,5622652271.23352
671,1644451200000,5723641781.391198
672,1644537600000,5353182712.335744
673,1644624000000,4935787312.010569
674,1644710400000,4924455110.973735
675,1644796800000,4842914613.3572235
676,1644883200000,4887720792.465763
677,1644969600000,5321138520.554932
678,1645056000000,5283667728.150303
679,1645142400000,4810469815.54373
680,1645228800000,4758894729.625547
681,1645315200000,4773368371.9825
682,1645401600000,4428008804.206307
683,1645488000000,3922180012.855555
684,1645574400000,4058935243.776666
685,1645660800000,4027330623.218963
686,1645747200000,3773592373.836914
687,1645833600000,4345756855.177397
688,1645920000000,4480787978.652882
689,1646006400000,4034212408.5589924
690,1646092800000,4505742395.525996
691,1646179200000,4663181258.999204
692,1646265600000,5093563393.772163
693,1646352000000,4767766126.8133135
694,1646438400000,4255852988.9916472
695,1646524800000,4291732671.213143
696,1646611200000,3587881138.972101
697,1646697600000,3367689292.856402
698,1646784000000,3367343960.20301
699,1646870400000,3481440125.220181
700,1646956800000,3142962844.516811
701,1647043200000,3087862564.1334352
702,1647129600000,3039335154.31074
703,1647216000000,2851812479.0752234
704,1647302400000,2741029681.784893
705,1647388800000,3068168109.7709026
706,1647475200000,3151867062.6338215
707,1647561600000,3055189220.071057
708,1647648000000,3172791115.806637
709,1647734400000,3337538183.643258
710,1647820800000,3181307037.826666
711,1647907200000,3196930514.666567
712,1647993600000,3231587976.3925667
713,1648080000000,3315953369.5876956
714,1648166400000,3354130101.930025
715,1648252800000,3417452743.0830836
716,1648339200000,3548946484.6675167
717,1648425600000,3628876604.895443
718,1648512000000,3604036146.4429245
719,1648598400000,3592714704.821179
720,1648684800000,3592267282.413849
721,1648771200000,3594840930.581242
722,1648857600000,3996789209.230767
723,1648944000000,3908781028.6653037
724,1649030400000,4093975738.178927
725,1649116800000,3950025068.5859303
726,1649203200000,3714820992.209381
727,1649289600000,3325378619.3709407
728,1649376000000,3434371462.2155185
729,1649462400000,3154277399.7091103
730,1649522422000,3211126021.075641
