,Time,Polymath Market Cap
687,1645833600000,353654120.78172785
688,1645920000000,358827522.90010494
689,1646006400000,334249451.0706225
690,1646092800000,364039011.3805115
691,1646179200000,427335349.9899923
692,1646265600000,398577572.461471
693,1646352000000,378256628.48680675
694,1646438400000,375489811.7116461
695,1646524800000,375211648.1753841
696,1646611200000,361934010.1062008
697,1646697600000,349232355.92118967
698,1646784000000,358449839.0849558
699,1646870400000,372736642.5491456
700,1646956800000,357795300.5718813
701,1647043200000,350462545.17181414
702,1647129600000,347981005.61669785
703,1647216000000,334280554.98600185
704,1647302400000,340356060.7731311
705,1647388800000,338396991.386157
706,1647475200000,347564769.4290538
707,1647561600000,358637761.9792485
708,1647648000000,359628969.28922284
709,1647734400000,364634964.6998856
710,1647820800000,371152196.3605713
711,1647907200000,365421082.8461405
712,1647993600000,369924580.038742
713,1648080000000,380076699.4418974
714,1648166400000,383201740.6014721
715,1648252800000,383743833.0353998
716,1648339200000,401108437.55358475
717,1648425600000,435521751.14623517
718,1648512000000,443144877.3948015
719,1648598400000,446471178.3565634
720,1648684800000,459407357.53511894
721,1648771200000,470658495.22721773
722,1648857600000,485107183.01964945
723,1648944000000,514008251.65202665
724,1649030400000,491797550.82027364
725,1649116800000,458814558.42223155
726,1649203200000,437749848.8468683
727,1649289600000,386089014.6328722
728,1649376000000,398913400.382946
729,1649462400000,381854932.885231
730,1649523942000,385770763.0458673
