Time,Solana Volume,Binance Volume,Cronos Volume,Ethereum Volume,Fantom Volume,Polymath Volume,Tron Volume,XRP Volume
2021-01-29,56780983.11915729,731044472.4984183,107347150.4838746,49454503567.54182,645665807.975398,5626126.00023515,4099687130.74676,5439789951.901406
2021-01-30,67081650.43724924,612389944.9645923,117426782.1728171,29581914651.14533,271725962.64870954,3543173.2390575195,1807492084.5349755,19414333088.879105
2021-01-31,97446415.859447,571098971.0226346,92761723.99167816,24723054987.87416,195699920.7484352,2562888.7493580705,1697690360.394583,18464504612.211376
2021-02-01,46965792.2315938,1473065904.0210793,104521244.44980186,28544048877.677177,88561321.41556208,2443839.4048673217,1828729618.1711347,25326949014.716194
2021-02-02,123805679.78884631,1178306794.5116994,105970839.28302762,42952410181.63245,182903782.34634504,4258091.705075276,1441771544.7948482,8890335318.020376
2021-02-03,94154842.87095356,805552172.8087535,115490037.7170596,42202356538.206825,216480784.2110822,20751170.406643823,1370963145.1582482,5814855434.455073
2021-02-04,136705073.21189842,1102875237.699942,68038516.96126705,42668487953.81155,133117119.12421598,14992259.505436089,1423573702.7482965,8167579932.513847
2021-02-05,122560651.23753116,1692097697.7534337,71830735.2078607,39147540640.174576,123598063.43098502,9140524.801045325,1757572789.2499528,6193490021.851766
2021-02-06,134130068.36753744,2640506902.149394,79862085.06761539,36776919163.51647,110301671.42571512,9995901.434489751,1750414292.3825328,4764275824.040723
2021-02-07,133124403.50118582,1818565577.6450295,74052438.55141455,38849634841.44165,78262701.67377016,9347857.59559672,1914923368.2643845,4600927431.562356
2021-02-08,198992540.37720096,2628386625.789472,99601979.56955878,45540524354.89187,95089064.3765246,7862442.427046518,2602462164.289034,4843449977.613201
2021-02-09,155211915.61724132,5431056857.981953,191725840.5459572,42127693213.60732,95603090.38932808,7041638.105670978,3702271397.4244704,5664958932.603473
2021-02-10,151648521.93150106,8622001934.647383,171016022.15170723,40563120176.97226,93634651.82024792,25841361.966468956,2808300811.663646,9594865064.681908
2021-02-11,201126010.1510816,3324064891.1252646,126989424.67095916,33868453070.396435,200192064.1746972,13407691.01087189,3698515502.495559,5044099241.561654
2021-02-12,114926769.55619729,3522463018.7130527,222997481.4359669,36105354379.40371,199182995.94890928,7944084.159075336,3118131560.618591,8414105411.093184
2021-02-13,116673415.15525527,2457588084.8798904,160888724.6959286,33305061601.17683,106116454.98337194,18407922.84619091,3040703479.284206,8313557340.693602
2021-02-14,111434979.06446633,2534232231.1893573,130299482.65632668,30218599726.89195,56603221.47009847,13721065.980736803,2782008918.80746,6924719591.747257
2021-02-15,109980858.18916675,2296763147.4066253,133203335.15743645,37652347195.44906,89292748.16631937,11294712.880980384,3074598871.1132617,7365881442.587182
2021-02-16,72282574.1446148,1815199476.0838847,89332152.10728477,33252538989.620327,56686085.79982242,9495544.536960546,2605251117.9870653,6802700451.816495
2021-02-17,95778536.21248828,5591312738.079581,245969756.4090449,33582379213.069286,45885458.929474205,9164403.497286882,2221799069.49825,6208398652.824409
2021-02-18,93285838.88247588,8204647326.594336,340226200.6595292,34799956643.698685,205270898.4578505,579780568.23134,1965989782.6452508,5131652517.088255
2021-02-19,337882476.3629094,22103516567.70705,323718233.4981232,34796767875.96328,129278354.475887,73080705.75241598,3544075050.159017,6614816653.231531
2021-02-20,151686888.40429655,13497538091.829664,280904901.9157898,44957939435.53464,241372756.00879705,61915494.77314016,3091361995.56587,6373516533.454249
2021-02-21,185663015.63880065,11521772897.110416,188283579.2403995,33064349740.90669,481450867.5341577,24279231.411172137,2460185338.204169,5724101112.797071
2021-02-22,745502104.7831652,10950701746.009872,2034762971.0292656,53799590366.036766,813492099.3406097,26966224.106315523,2989834129.2028065,15576169123.11184
2021-02-23,1244332504.0368009,10898388397.780985,763263867.2623398,62714754623.34122,964524361.0110888,17522635.746430587,3153135548.5762,12601693025.42666
2021-02-24,653765450.5243506,10134020070.093117,305454919.6914044,40313400449.15527,909005381.5445908,51278554.30402744,2535464673.393512,6628251875.245143
2021-02-25,528005152.6128535,6059743759.475165,432789096.42874646,31736119376.25847,1772467741.480978,25628709.55771016,1565011956.464382,5374923641.563785
2021-02-26,439215087.7936575,6123362549.344084,334443981.16068834,36682073651.905846,985088727.914966,15455507.10773972,2032986783.161312,6481821746.793152
2021-02-27,331645301.8971598,4001793419.013551,238604797.3568101,28221473460.214203,662170275.475954,23918262.70602365,1548062406.5495691,4674293764.747475
2021-02-28,388225411.00663006,4576664599.820663,223649016.75161391,35420463945.47327,438514534.6622885,26259169.11682666,1886197817.1338296,4487418197.58171
2021-03-01,392440888.40344346,6899473970.603624,199501770.41729373,31604939381.8638,1046872052.3556526,86093362.25791885,1769363639.708738,3457084099.710941
2021-03-02,225140396.1605628,4755698486.399357,263362630.85296363,29049758215.725,450463649.0857458,27874804.68031175,1622187499.3618636,3237450086.714921
2021-03-03,196774080.8443388,3989584025.182552,225838681.49003997,30352405292.089718,321163660.8102514,38936612.147609375,1530487828.7970388,3428688631.9957685
2021-03-04,147658517.89297044,3781405735.5510974,210355560.16847527,29848246930.85004,298667781.23396415,100933144.50790894,2918772771.7517905,5945941442.735083
2021-03-05,114430118.94230545,3454103781.3491554,156582416.03358966,28537887161.01869,225255721.60785788,16041172.790198678,1704853444.590172,4145638369.123248
2021-03-06,151724548.43234462,2598241543.295976,153065471.81856573,31094969328.98433,143139166.3065615,23980629.955940325,1396275580.1500142,2805029015.7978253
2021-03-07,176392184.74589956,3162878615.7866096,172390794.59895268,29416647567.95784,159217906.5519733,20789796.82676808,1294495870.6465745,2490033476.6694694
