,Time,Cronos Market Cap
627,1640649600000,15821482415.00959
628,1640736000000,14370949478.232918
629,1640822400000,13727687116.441551
630,1640908800000,13983128626.439722
631,1640995200000,14179177137.439732
632,1641081600000,14734123699.347189
633,1641168000000,14886637406.751135
634,1641254400000,14392269540.073235
635,1641340800000,14036002587.034523
636,1641427200000,12773298086.775341
637,1641513600000,12767386626.19853
638,1641600000000,11759410364.07813
639,1641686400000,11530600375.985086
640,1641772800000,11686370312.221596
641,1641859200000,11242816936.016796
642,1641945600000,11640256914.493946
643,1642032000000,12311356416.785694
644,1642118400000,11580720426.908922
645,1642204800000,11523571385.662556
646,1642291200000,11821012990.03248
647,1642377600000,11749316990.670889
648,1642464000000,11257006436.663164
649,1642550400000,11271099886.49032
650,1642636800000,10960435730.811657
651,1642723200000,11088601215.077532
652,1642809600000,9182659444.519886
653,1642896000000,8522639667.82102
654,1642982400000,9530749147.167469
655,1643068800000,9489042620.690195
656,1643155200000,9928368809.925356
657,1643241600000,10094035845.648031
658,1643328000000,10093337725.734991
659,1643414400000,10649106315.530312
660,1643500800000,10897736633.260805
661,1643587200000,10736493081.775885
662,1643673600000,10818225139.168789
663,1643760000000,11050364413.321138
664,1643846400000,10215581719.577335
665,1643932800000,10133658606.01536
666,1644019200000,10905580333.878996
667,1644105600000,11399316698.211529
668,1644192000000,11664513333.711664
669,1644278400000,12545132981.221483
670,1644364800000,12366858753.953264
671,1644451200000,13021062029.064224
672,1644537600000,12947904535.874292
673,1644624000000,12110770708.147465
674,1644710400000,12256993920.817627
675,1644796800000,12817260183.28467
676,1644883200000,11945140315.510645
677,1644969600000,12560197376.976418
678,1645056000000,12159947803.97162
679,1645142400000,10884071707.96011
680,1645228800000,11036387635.668056
681,1645315200000,11043191189.797338
682,1645401600000,10272368641.438404
683,1645488000000,9793200451.584108
684,1645574400000,10210024665.494997
685,1645660800000,10119970801.631817
686,1645747200000,9958348077.234848
687,1645833600000,10564480848.375309
688,1645920000000,10439636390.63964
689,1646006400000,9999990054.740997
